n-gram,proportion
l,0.017613513318414785
d,0.013282321518804591
de,0.054645203205081934
est,0.01414855987872663
un,0.007435212589330831
par,0.005702735869486754
pour,0.00786833176929185
la,0.03847542048653721
sur,0.005341803219519238
les,0.01703602107846676
en,0.017252580668447266
octobre,0.001010611419909045
elle,0.007074279939363315
se,0.005053057099545225
à,0.01905724391828485
qui,0.006568974229408792
17,0.001010611419909045
dans,0.010827979499025482
le,0.020140041868187398
une,0.009239875839168412
et,0.027286508337544216
ainsi,0.0015159171298635675
que,0.00425900526961669
des,0.015520103948603191
dont,0.0012993575398830579
au,0.006496787699415289
15,0.0010827979499025483
6,0.001732476719844077
cette,0.002743088139753122
12,0.0012271710098895547
2,0.0021655958998050965
aussi,0.0014437305998700643
portail,0.0025987150797661157
il,0.009095502779181405
ne,0.0018768497798310835
pas,0.00202122283981809
s,0.0032483938497076446
son,0.005702735869486754
père,0.001010611419909045
après,0.0012271710098895547
fait,0.001371544069876561
ses,0.00202122283981809
mais,0.0021655958998050965
sont,0.0028874611997401285
p,0.0011549844798960515
ligne,0.004475564859597199
of,0.0010827979499025483
du,0.011838590918934527
jusqu,0.001010611419909045
9,0.001010611419909045
10,0.001371544069876561
5,0.0015159171298635675
puis,0.0018046632498375803
3,0.0014437305998700643
équipe,0.0012271710098895547
a,0.004619937919584206
leur,0.0010827979499025483
lui,0.00202122283981809
1,0.0028152746697466253
aux,0.0012271710098895547
avant,0.0012993575398830579
être,0.001732476719844077
comme,0.0012271710098895547
entre,0.002670901609759619
premier,0.0012271710098895547
sa,0.0029596477297336317
qu,0.0036815130296686638
avec,0.005486176279506244
première,0.0011549844798960515
ou,0.001010611419909045
série,0.0011549844798960515
riverdale,0.0012271710098895547
archie,0.003031834259727135
plus,0.0035371399696816574
également,0.0012993575398830579
même,0.0016602901898505739
ce,0.003392766909694651
n,0.001010611419909045
betty,0.003464953439688154
depuis,0.0012271710098895547
où,0.0015159171298635675
jughead,0.0011549844798960515
saison,0.00202122283981809
été,0.0010827979499025483
ils,0.0012271710098895547
jason,0.0010827979499025483
contre,0.0010827979499025483
veronica,0.002382155489785606
cheryl,0.0015159171298635675
jeu,0.0028152746697466253
tout,0.0012271710098895547
deux,0.0015159171298635675
fille,0.0010827979499025483
y,0.0011549844798960515
peut,0.0010827979499025483
c,0.0015159171298635675
cartes,0.003464953439688154
créatures,0.001010611419909045
faction,0.001010611419909045
ces,0.0012993575398830579
nombre,0.001010611419909045
on,0.0014437305998700643
extension,0.0014437305998700643
8,0.001371544069876561
bouddhisme,0.0010827979499025483
millions,0.0011549844798960515
0,0.0010827979499025483
annemasse,0.0015159171298635675
secteur,0.0010827979499025483
champagne,0.003753699559662167
ardenne,0.0024543420197791093
région,0.0020934093698115933
marne,0.0010827979499025483
